Registro;Nombre;Referencia de Tramite;Equivalencia Terapéutica o Biosimilar;Titular;Estado del Registro;Resolución Inscríbase;Fecha Inscríbase;Ultima Renovación;Fecha Próxima renovación;Régimen;Vía Administración;Condición de Venta;Expende tipo establecimiento;Indicación;Fecha Próxima Renovación;Procesado
H-833/20;;;;;;;;;;;;;;;;False
F-7368/21;;;;;;;;;;;;;;;;False
F-2524/20;;;;;;;;;;;;;;;;False
F-11104/21;;;;;;;;;;;;;;;;False
H-926/20;;;;;;;;;;;;;;;;False
H-1198/21;;;;;;;;;;;;;;;;False
H-1292/21;;;;;;;;;;;;;;;;False
F-26984/22;;;;;;;;;;;;;;;;False
H-1103/20;;;;;;;;;;;;;;;;False
F-25919/21;;;;;;;;;;;;;;;;False
F-13530/24;;;;;;;;;;;;;;;;False
F-10983/21;;;;;;;;;;;;;;;;False
F-10984/21;;;;;;;;;;;;;;;;False
F-2568/24;;;;;;;;;;;;;;;;False
F-3452/20;;;;;;;;;;;;;;;;False
F-2569/24;;;;;;;;;;;;;;;;False
F-3449/20;;;;;;;;;;;;;;;;False
F-635/23;;;;;;;;;;;;;;;;False
F-15735/21;;;;;;;;;;;;;;;;False
F-25337/20;;;;;;;;;;;;;;;;False
H-884/20;;;;;;;;;;;;;;;;False
H-885/20;;;;;;;;;;;;;;;;False
H-800/20;;;;;;;;;;;;;;;;False
H-1178/24;;;;;;;;;;;;;;;;False
H-1087/22;;;;;;;;;;;;;;;;False
F-1071/23;;;;;;;;;;;;;;;;False
F-23799/23;;;;;;;;;;;;;;;;False
F-28385/24;;;;;;;;;;;;;;;;False
F-10441/21;;;;;;;;;;;;;;;;False
F-3813/20;;;;;;;;;;;;;;;;False
H-1102/20;;;;;;;;;;;;;;;;False
H-1121/23;;;;;;;;;;;;;;;;False
H-757/20;;;;;;;;;;;;;;;;False
N-184/21;;;;;;;;;;;;;;;;False
F-21646/20;;;;;;;;;;;;;;;;False
K-88/21;;;;;;;;;;;;;;;;False
F-25708/20;;;;;;;;;;;;;;;;False
F-24670/24;;;;;;;;;;;;;;;;False
F-20997/24;;;;;;;;;;;;;;;;False
F-25699/20;;;;;;;;;;;;;;;;False
F-25700/20;;;;;;;;;;;;;;;;False
F-24511/24;;;;;;;;;;;;;;;;False
F-3399/20;;;;;;;;;;;;;;;;False
F-27117/22;;;;;;;;;;;;;;;;False
F-11815/22;;;;;;;;;;;;;;;;False
F-11816/22;;;;;;;;;;;;;;;;False
F-12278/22;;;;;;;;;;;;;;;;False
F-11841/22;;;;;;;;;;;;;;;;False
F-26097/21;;;;;;;;;;;;;;;;False
F-7587/21;;;;;;;;;;;;;;;;False
F-28553/24;;;;;;;;;;;;;;;;False
F-11842/22;;;;;;;;;;;;;;;;False
F-1513/23;;;;;;;;;;;;;;;;False
F-27675/23;;;;;;;;;;;;;;;;False
F-2288/24;;;;;;;;;;;;;;;;False
F-2287/24;;;;;;;;;;;;;;;;False
F-8663/21;;;;;;;;;;;;;;;;False
F-22151/20;;;;;;;;;;;;;;;;False
F-25228/20;;;;;;;;;;;;;;;;False
F-25507/20;;;;;;;;;;;;;;;;False
F-27832/23;;;;;;;;;;;;;;;;False
F-28537/24;;;;;;;;;;;;;;;;False
F-28492/24;;;;;;;;;;;;;;;;False
F-4001/20;;;;;;;;;;;;;;;;False
F-25607/20;;;;;;;;;;;;;;;;False
F-25225/20;;;;;;;;;;;;;;;;False
F-24351/23;;;;;;;;;;;;;;;;False
F-24211/23;;;;;;;;;;;;;;;;False
F-26696/22;;;;;;;;;;;;;;;;False
F-26571/22;;;;;;;;;;;;;;;;False
F-23684/23;;;;;;;;;;;;;;;;False
F-17618/24;;;;;;;;;;;;;;;;False
F-20020/23;;;;;;;;;;;;;;;;False
F-8660/21;;;;;;;;;;;;;;;;False
F-154/22;;;;;;;;;;;;;;;;False
F-498/23;;;;;;;;;;;;;;;;False
F-898/23;;;;;;;;;;;;;;;;False
F-4004/20;;;;;;;;;;;;;;;;False
F-4002/20;;;;;;;;;;;;;;;;False
F-11621/21;;;;;;;;;;;;;;;;False
F-26936/22;;;;;;;;;;;;;;;;False
F-11670/21;;;;;;;;;;;;;;;;False
F-28319/24;;;;;;;;;;;;;;;;False
F-9296/21;;;;;;;;;;;;;;;;False
F-24290/23;;;;;;;;;;;;;;;;False
F-28019/24;;;;;;;;;;;;;;;;False
F-25153/24;;;;;;;;;;;;;;;;False
N-435/21;;;;;;;;;;;;;;;;False
N-396/20;;;;;;;;;;;;;;;;False
H-1277/21;;;;;;;;;;;;;;;;False
H-581/20;;;;;;;;;;;;;;;;False
H-1179/24;;;;;;;;;;;;;;;;False
N-185/21;;;;;;;;;;;;;;;;False
H-818/20;;;;;;;;;;;;;;;;False
H-748/20;;;;;;;;;;;;;;;;False
H-1130/23;;;;;;;;;;;;;;;;False
H-1228/22;;;;;;;;;;;;;;;;False
F-6371/20;;;;;;;;;;;;;;;;False
N-186/21;;;;;;;;;;;;;;;;False
F-1206/23;;;;;;;;;;;;;;;;False
N-474/24;;;;;;;;;;;;;;;;False
F-19055/21;;;;;;;;;;;;;;;;False
F-18844/21;;;;;;;;;;;;;;;;False
F-14808/20;;;;;;;;;;;;;;;;False
F-28020/24;;;;;;;;;;;;;;;;False
F-8015/21;;;;;;;;;;;;;;;;False
F-8016/21;;;;;;;;;;;;;;;;False
F-27857/23;;;;;;;;;;;;;;;;False
F-27858/23;;;;;;;;;;;;;;;;False
B-2546/20;;;;;;;;;;;;;;;;False
B-922/20;;;;;;;;;;;;;;;;False
F-1495/23;;;;;;;;;;;;;;;;False
F-7935/21;;;;;;;;;;;;;;;;False
F-12374/22;;;;;;;;;;;;;;;;False
F-28481/24;;;;;;;;;;;;;;;;False
F-14015/24;;;;;;;;;;;;;;;;False
H-590/20;;;;;;;;;;;;;;;;False
H-819/20;;;;;;;;;;;;;;;;False
H-749/20;;;;;;;;;;;;;;;;False
F-9375/21;;;;;;;;;;;;;;;;False
F-9376/21;;;;;;;;;;;;;;;;False
F-27676/23;;;;;;;;;;;;;;;;False
F-27136/22;;;;;;;;;;;;;;;;False
F-1207/23;;;;;;;;;;;;;;;;False
F-8694/21;;;;;;;;;;;;;;;;False
H-750/20;;;;;;;;;;;;;;;;False
F-25662/20;;;;;;;;;;;;;;;;False
H-1180/24;;;;;;;;;;;;;;;;False
F-6400/20;;;;;;;;;;;;;;;;False
F-6373/20;;;;;;;;;;;;;;;;False
F-6399/20;;;;;;;;;;;;;;;;False
F-11677/21;;;;;;;;;;;;;;;;False
F-11678/21;;;;;;;;;;;;;;;;False
F-6430/20;;;;;;;;;;;;;;;;False
H-1008/21;;;;;;;;;;;;;;;;False
F-25922/21;;;;;;;;;;;;;;;;False
F-21283/24;;;;;;;;;;;;;;;;False
F-7596/21;;;;;;;;;;;;;;;;False
F-7598/21;;;;;;;;;;;;;;;;False
F-5823/20;;;;;;;;;;;;;;;;False
F-24239/23;;;;;;;;;;;;;;;;False
F-10446/21;;;;;;;;;;;;;;;;False
F-8572/21;;;;;;;;;;;;;;;;False
B-2648/21;;;;;;;;;;;;;;;;False
B-2653/21;;;;;;;;;;;;;;;;False
H-1234/22;;;;;;;;;;;;;;;;False
H-799/20;;;;;;;;;;;;;;;;False
F-3653/20;;;;;;;;;;;;;;;;False
F-13104/23;;;;;;;;;;;;;;;;False
F-9928/21;;;;;;;;;;;;;;;;False
N-632/21;;;;;;;;;;;;;;;;False
H-751/20;;;;;;;;;;;;;;;;False
H-820/20;;;;;;;;;;;;;;;;False
F-21743/20;;;;;;;;;;;;;;;;False
F-23836/23;;;;;;;;;;;;;;;;False
F-4018/20;;;;;;;;;;;;;;;;False
F-4017/20;;;;;;;;;;;;;;;;False
K-80/20;;;;;;;;;;;;;;;;False
H-598/20;;;;;;;;;;;;;;;;False
H-801/20;;;;;;;;;;;;;;;;False
H-1181/24;;;;;;;;;;;;;;;;False
H-1280/21;;;;;;;;;;;;;;;;False
H-1281/21;;;;;;;;;;;;;;;;False
F-12574/22;;;;;;;;;;;;;;;;False
H-870/20;;;;;;;;;;;;;;;;False
F-27738/23;;;;;;;;;;;;;;;;False
F-27734/23;;;;;;;;;;;;;;;;False
F-27346/23;;;;;;;;;;;;;;;;False
F-26242/21;;;;;;;;;;;;;;;;False
H-821/20;;;;;;;;;;;;;;;;False
N-188/21;;;;;;;;;;;;;;;;False
H-1182/24;;;;;;;;;;;;;;;;False
H-602/20;;;;;;;;;;;;;;;;False
H-608/20;;;;;;;;;;;;;;;;False
F-4225/20;;;;;;;;;;;;;;;;False
F-18238/20;;;;;;;;;;;;;;;;False
F-18239/20;;;;;;;;;;;;;;;;False
N-189/21;;;;;;;;;;;;;;;;False
F-2068/24;;;;;;;;;;;;;;;;False
H-1009/21;;;;;;;;;;;;;;;;False
H-1250/24;;;;;;;;;;;;;;;;False
H-588/20;;;;;;;;;;;;;;;;False
H-1183/24;;;;;;;;;;;;;;;;False
F-28559/24;;;;;;;;;;;;;;;;False
H-1298/23;;;;;;;;;;;;;;;;False
N-575/21;;;;;;;;;;;;;;;;False
H-948/21;;;;;;;;;;;;;;;;False
F-21652/20;;;;;;;;;;;;;;;;False
F-22543/21;;;;;;;;;;;;;;;;False
F-25701/20;;;;;;;;;;;;;;;;False
H-1216/24;;;;;;;;;;;;;;;;False
H-879/20;;;;;;;;;;;;;;;;False
H-834/20;;;;;;;;;;;;;;;;False
H-1184/24;;;;;;;;;;;;;;;;False
H-339/23;;;;;;;;;;;;;;;;False
H-1219/20;;;;;;;;;;;;;;;;False
H-1222/20;;;;;;;;;;;;;;;;False
H-1221/20;;;;;;;;;;;;;;;;False
H-1223/20;;;;;;;;;;;;;;;;False
H-1007/21;;;;;;;;;;;;;;;;False
H-1232/22;;;;;;;;;;;;;;;;False
N-416/20;;;;;;;;;;;;;;;;False
F-11672/21;;;;;;;;;;;;;;;;False
N-448/22;;;;;;;;;;;;;;;;False
N-624/21;;;;;;;;;;;;;;;;False
N-625/21;;;;;;;;;;;;;;;;False
F-8770/21;;;;;;;;;;;;;;;;False
F-24276/24;;;;;;;;;;;;;;;;False
F-20892/24;;;;;;;;;;;;;;;;False
F-20159/23;;;;;;;;;;;;;;;;False
F-20289/23;;;;;;;;;;;;;;;;False
F-20893/24;;;;;;;;;;;;;;;;False
F-24275/24;;;;;;;;;;;;;;;;False
F-27420/23;;;;;;;;;;;;;;;;False
H-931/20;;;;;;;;;;;;;;;;False
H-882/20;;;;;;;;;;;;;;;;False
H-1185/24;;;;;;;;;;;;;;;;False
H-925/20;;;;;;;;;;;;;;;;False
B-2990/23;;;;;;;;;;;;;;;;False
B-2991/23;;;;;;;;;;;;;;;;False
F-9095/21;;;;;;;;;;;;;;;;False
F-26349/21;;;;;;;;;;;;;;;;False
H-775/20;;;;;;;;;;;;;;;;False
F-18320/20;;;;;;;;;;;;;;;;False
F-18319/20;;;;;;;;;;;;;;;;False
H-733/20;;;;;;;;;;;;;;;;False
F-17994/20;;;;;;;;;;;;;;;;False
H-791/20;;;;;;;;;;;;;;;;False
H-1186/24;;;;;;;;;;;;;;;;False
H-785/20;;;;;;;;;;;;;;;;False
F-7782/21;;;;;;;;;;;;;;;;False
K-11/20;;;;;;;;;;;;;;;;False
F-11679/21;;;;;;;;;;;;;;;;False
F-6374/20;;;;;;;;;;;;;;;;False
H-591/20;;;;;;;;;;;;;;;;False
F-1204/23;;;;;;;;;;;;;;;;False
F-2242/24;;;;;;;;;;;;;;;;False
F-9644/21;;;;;;;;;;;;;;;;False
H-1013/21;;;;;;;;;;;;;;;;False
F-25470/20;;;;;;;;;;;;;;;;False
F-15212/20;;;;;;;;;;;;;;;;False
F-15211/20;;;;;;;;;;;;;;;;False
F-4/22;;;;;;;;;;;;;;;;False
F-15213/20;;;;;;;;;;;;;;;;False
F-12118/22;;;;;;;;;;;;;;;;False
F-15355/20;;;;;;;;;;;;;;;;False
F-12119/22;;;;;;;;;;;;;;;;False
F-10458/21;;;;;;;;;;;;;;;;False
F-15210/20;;;;;;;;;;;;;;;;False
F-10457/21;;;;;;;;;;;;;;;;False
F-27321/23;;;;;;;;;;;;;;;;False
F-2488/24;;;;;;;;;;;;;;;;False
F-28395/24;;;;;;;;;;;;;;;;False
F-16129/22;;;;;;;;;;;;;;;;False
F-25654/20;;;;;;;;;;;;;;;;False
F-12651/22;;;;;;;;;;;;;;;;False
F-8574/21;;;;;;;;;;;;;;;;False
F-3818/20;;;;;;;;;;;;;;;;False
F-10459/21;;;;;;;;;;;;;;;;False
F-21716/20;;;;;;;;;;;;;;;;False
H-752/20;;;;;;;;;;;;;;;;False
H-1095/23;;;;;;;;;;;;;;;;False
N-18/21;;;;;;;;;;;;;;;;False
N-20/21;;;;;;;;;;;;;;;;False
N-27/21;;;;;;;;;;;;;;;;False
N-26/21;;;;;;;;;;;;;;;;False
N-19/21;;;;;;;;;;;;;;;;False
N-25/21;;;;;;;;;;;;;;;;False
H-1248/24;;;;;;;;;;;;;;;;False
H-1246/24;;;;;;;;;;;;;;;;False
F-17094/23;;;;;;;;;;;;;;;;False
H-795/20;;;;;;;;;;;;;;;;False
H-1226/21;;;;;;;;;;;;;;;;False
H-576/20;;;;;;;;;;;;;;;;False
H-1220/20;;;;;;;;;;;;;;;;False
F-10828/21;;;;;;;;;;;;;;;;False
F-10823/21;;;;;;;;;;;;;;;;False
F-15456/21;;;;;;;;;;;;;;;;False
F-4031/20;;;;;;;;;;;;;;;;False
N-631/21;;;;;;;;;;;;;;;;False
F-1217/23;;;;;;;;;;;;;;;;False
F-26358/21;;;;;;;;;;;;;;;;False
N-579/22;;;;;;;;;;;;;;;;False
N-627/21;;;;;;;;;;;;;;;;False
F-26450/21;;;;;;;;;;;;;;;;False
F-26451/21;;;;;;;;;;;;;;;;False
H-1297/23;;;;;;;;;;;;;;;;False
H-729/20;;;;;;;;;;;;;;;;False
H-713/20;;;;;;;;;;;;;;;;False
H-1091/22;;;;;;;;;;;;;;;;False
F-12192/22;;;;;;;;;;;;;;;;False
F-15398/21;;;;;;;;;;;;;;;;False
F-19554/22;;;;;;;;;;;;;;;;False
N-191/21;;;;;;;;;;;;;;;;False
N-613/20;;;;;;;;;;;;;;;;False
F-27149/22;;;;;;;;;;;;;;;;False
N-135/22;;;;;;;;;;;;;;;;False
N-232/23;;;;;;;;;;;;;;;;False
F-1430/23;;;;;;;;;;;;;;;;False
N-192/21;;;;;;;;;;;;;;;;False
N-101/21;;;;;;;;;;;;;;;;False
F-7121/20;;;;;;;;;;;;;;;;False
H-605/20;;;;;;;;;;;;;;;;False
K-66/20;;;;;;;;;;;;;;;;False
F-10916/21;;;;;;;;;;;;;;;;False
F-2284/24;;;;;;;;;;;;;;;;False
F-2652/24;;;;;;;;;;;;;;;;False
F-7597/21;;;;;;;;;;;;;;;;False
F-21728/20;;;;;;;;;;;;;;;;False
F-21725/20;;;;;;;;;;;;;;;;False
B-2719/23;;;;;;;;;;;;;;;;False
F-15624/21;;;;;;;;;;;;;;;;False
F-24701/24;;;;;;;;;;;;;;;;False
H-1218/20;;;;;;;;;;;;;;;;False
H-1099/24;;;;;;;;;;;;;;;;False
F-21476/24;;;;;;;;;;;;;;;;False
F-20411/23;;;;;;;;;;;;;;;;False
F-22542/21;;;;;;;;;;;;;;;;False
B-2103/24;;;;;;;;;;;;;;;;False
B-2104/24;;;;;;;;;;;;;;;;False
N-626/21;;;;;;;;;;;;;;;;False
F-21477/24;;;;;;;;;;;;;;;;False
F-10591/21;;;;;;;;;;;;;;;;False
F-1830/24;;;;;;;;;;;;;;;;False
F-6025/20;;;;;;;;;;;;;;;;False
F-474/23;;;;;;;;;;;;;;;;False
F-16029/22;;;;;;;;;;;;;;;;False
F-17537/24;;;;;;;;;;;;;;;;False
F-13536/24;;;;;;;;;;;;;;;;False
F-21021/24;;;;;;;;;;;;;;;;False
F-27348/23;;;;;;;;;;;;;;;;False
F-11176/21;;;;;;;;;;;;;;;;False
F-14751/20;;;;;;;;;;;;;;;;False
F-11177/21;;;;;;;;;;;;;;;;False
F-28132/24;;;;;;;;;;;;;;;;False
F-28154/24;;;;;;;;;;;;;;;;False
F-23458/22;;;;;;;;;;;;;;;;False
F-23459/22;;;;;;;;;;;;;;;;False
F-3201/20;;;;;;;;;;;;;;;;False
F-26634/22;;;;;;;;;;;;;;;;False
F-28562/24;;;;;;;;;;;;;;;;False
F-14918/20;;;;;;;;;;;;;;;;False
F-9357/21;;;;;;;;;;;;;;;;False
F-25534/20;;;;;;;;;;;;;;;;False
F-25447/20;;;;;;;;;;;;;;;;False
F-7323/21;;;;;;;;;;;;;;;;False
F-7324/21;;;;;;;;;;;;;;;;False
F-25617/20;;;;;;;;;;;;;;;;False
F-25618/20;;;;;;;;;;;;;;;;False
F-6135/20;;;;;;;;;;;;;;;;False
F-7615/21;;;;;;;;;;;;;;;;False
F-14917/20;;;;;;;;;;;;;;;;False
F-26987/22;;;;;;;;;;;;;;;;False
F-3463/20;;;;;;;;;;;;;;;;False
F-24953/19;;;;;;;;;;;;;;;;False
F-22476/21;;;;;;;;;;;;;;;;False
F-24954/19;;;;;;;;;;;;;;;;False
F-26206/21;;;;;;;;;;;;;;;;False
F-22469/21;;;;;;;;;;;;;;;;False
F-13356/23;;;;;;;;;;;;;;;;False
F-7908/21;;;;;;;;;;;;;;;;False
F-23205/21;;;;;;;;;;;;;;;;False
F-23206/21;;;;;;;;;;;;;;;;False
F-27748/23;;;;;;;;;;;;;;;;False
F-27749/23;;;;;;;;;;;;;;;;False
F-11377/21;;;;;;;;;;;;;;;;False
F-24283/23;;;;;;;;;;;;;;;;False
F-25875/20;;;;;;;;;;;;;;;;False
F-27446/23;;;;;;;;;;;;;;;;False
F-12093/22;;;;;;;;;;;;;;;;False
F-2980/20;;;;;;;;;;;;;;;;False
F-15006/20;;;;;;;;;;;;;;;;False
B-2621/21;;;;;;;;;;;;;;;;False
F-14010/24;;;;;;;;;;;;;;;;False
F-18192/20;;;;;;;;;;;;;;;;False
F-20669/23;;;;;;;;;;;;;;;;False
F-8145/21;;;;;;;;;;;;;;;;False
F-18843/21;;;;;;;;;;;;;;;;False
F-18753/21;;;;;;;;;;;;;;;;False
F-20854/24;;;;;;;;;;;;;;;;False
F-3592/20;;;;;;;;;;;;;;;;False
F-27865/23;;;;;;;;;;;;;;;;False
F-23555/22;;;;;;;;;;;;;;;;False
F-23193/21;;;;;;;;;;;;;;;;False
F-28249/24;;;;;;;;;;;;;;;;False
B-2981/23;;;;;;;;;;;;;;;;False
F-24024/23;;;;;;;;;;;;;;;;False
F-24025/23;;;;;;;;;;;;;;;;False
F-28215/24;;;;;;;;;;;;;;;;False
F-23284/22;;;;;;;;;;;;;;;;False
F-26655/22;;;;;;;;;;;;;;;;False
F-24711/24;;;;;;;;;;;;;;;;False
B-2060/23;;;;;;;;;;;;;;;;False
B-2061/23;;;;;;;;;;;;;;;;False
B-2059/23;;;;;;;;;;;;;;;;False
F-5983/20;;;;;;;;;;;;;;;;False
F-20780/24;;;;;;;;;;;;;;;;False
F-22575/21;;;;;;;;;;;;;;;;False
F-20321/21;;;;;;;;;;;;;;;;False
F-7759/21;;;;;;;;;;;;;;;;False
F-2453/24;;;;;;;;;;;;;;;;False
F-14581/20;;;;;;;;;;;;;;;;False
F-26824/22;;;;;;;;;;;;;;;;False
F-26825/22;;;;;;;;;;;;;;;;False
B-2098/24;;;;;;;;;;;;;;;;False
B-2099/24;;;;;;;;;;;;;;;;False
F-3658/20;;;;;;;;;;;;;;;;False
F-28206/24;;;;;;;;;;;;;;;;False
F-28112/24;;;;;;;;;;;;;;;;False
F-27827/23;;;;;;;;;;;;;;;;False
F-9358/21;;;;;;;;;;;;;;;;False
F-7193/20;;;;;;;;;;;;;;;;False
F-7194/20;;;;;;;;;;;;;;;;False
F-25143/24;;;;;;;;;;;;;;;;False
F-25350/20;;;;;;;;;;;;;;;;False
F-25346/20;;;;;;;;;;;;;;;;False
F-18055/20;;;;;;;;;;;;;;;;False
F-22346/20;;;;;;;;;;;;;;;;False
F-7129/20;;;;;;;;;;;;;;;;False
F-25214/20;;;;;;;;;;;;;;;;False
F-26310/21;;;;;;;;;;;;;;;;False
F-26309/21;;;;;;;;;;;;;;;;False
F-25219/20;;;;;;;;;;;;;;;;False
F-918/23;;;;;;;;;;;;;;;;False
F-18061/20;;;;;;;;;;;;;;;;False
F-25846/20;;;;;;;;;;;;;;;;False
F-15921/22;;;;;;;;;;;;;;;;False
F-15621/21;;;;;;;;;;;;;;;;False
F-26482/21;;;;;;;;;;;;;;;;False
F-27853/23;;;;;;;;;;;;;;;;False
F-28459/24;;;;;;;;;;;;;;;;False
F-19771/23;;;;;;;;;;;;;;;;False
F-6136/20;;;;;;;;;;;;;;;;False
F-22362/20;;;;;;;;;;;;;;;;False
F-10849/21;;;;;;;;;;;;;;;;False
F-23218/21;;;;;;;;;;;;;;;;False
F-19664/22;;;;;;;;;;;;;;;;False
F-24518/24;;;;;;;;;;;;;;;;False
F-24629/24;;;;;;;;;;;;;;;;False
F-24517/24;;;;;;;;;;;;;;;;False
F-21929/20;;;;;;;;;;;;;;;;False
F-7238/20;;;;;;;;;;;;;;;;False
F-6670/20;;;;;;;;;;;;;;;;False
F-22231/20;;;;;;;;;;;;;;;;False
F-18307/20;;;;;;;;;;;;;;;;False
F-3873/20;;;;;;;;;;;;;;;;False
F-16234/22;;;;;;;;;;;;;;;;False
F-3465/20;;;;;;;;;;;;;;;;False
F-16778/23;;;;;;;;;;;;;;;;False
F-15009/20;;;;;;;;;;;;;;;;False
F-21745/20;;;;;;;;;;;;;;;;False
F-22086/20;;;;;;;;;;;;;;;;False
F-20777/24;;;;;;;;;;;;;;;;False
F-15010/20;;;;;;;;;;;;;;;;False
F-3872/20;;;;;;;;;;;;;;;;False
F-6860/20;;;;;;;;;;;;;;;;False
F-8570/21;;;;;;;;;;;;;;;;False
F-5986/20;;;;;;;;;;;;;;;;False
F-3582/20;;;;;;;;;;;;;;;;False
F-8026/21;;;;;;;;;;;;;;;;False
F-19049/21;;;;;;;;;;;;;;;;False
B-2873/21;;;;;;;;;;;;;;;;False
B-2874/21;;;;;;;;;;;;;;;;False
B-2872/21;;;;;;;;;;;;;;;;False
F-17900/24;;;;;;;;;;;;;;;;False
F-19105/21;;;;;;;;;;;;;;;;False
F-28212/24;;;;;;;;;;;;;;;;False
F-24872/24;;;;;;;;;;;;;;;;False
F-17509/24;;;;;;;;;;;;;;;;False
F-27615/23;;;;;;;;;;;;;;;;False
F-1410/23;;;;;;;;;;;;;;;;False
F-26003/21;;;;;;;;;;;;;;;;False
F-25450/20;;;;;;;;;;;;;;;;False
F-22843/21;;;;;;;;;;;;;;;;False
F-16011/22;;;;;;;;;;;;;;;;False
F-14266/24;;;;;;;;;;;;;;;;False
F-19198/22;;;;;;;;;;;;;;;;False
F-7765/21;;;;;;;;;;;;;;;;False
F-26968/22;;;;;;;;;;;;;;;;False
F-26969/22;;;;;;;;;;;;;;;;False
F-27640/23;;;;;;;;;;;;;;;;False
F-27563/23;;;;;;;;;;;;;;;;False
F-27886/23;;;;;;;;;;;;;;;;False
F-27941/23;;;;;;;;;;;;;;;;False
F-27281/23;;;;;;;;;;;;;;;;False
F-27567/23;;;;;;;;;;;;;;;;False
F-27624/23;;;;;;;;;;;;;;;;False
F-27887/23;;;;;;;;;;;;;;;;False
F-27940/23;;;;;;;;;;;;;;;;False
F-27282/23;;;;;;;;;;;;;;;;False
F-17641/24;;;;;;;;;;;;;;;;False
F-13411/23;;;;;;;;;;;;;;;;False
F-19283/22;;;;;;;;;;;;;;;;False
F-19285/22;;;;;;;;;;;;;;;;False
F-27800/23;;;;;;;;;;;;;;;;False
F-27801/23;;;;;;;;;;;;;;;;False
F-27802/23;;;;;;;;;;;;;;;;False
F-23010/21;;;;;;;;;;;;;;;;False
F-16490/22;;;;;;;;;;;;;;;;False
F-23237/21;;;;;;;;;;;;;;;;False
F-28523/24;;;;;;;;;;;;;;;;False
F-28524/24;;;;;;;;;;;;;;;;False
F-28267/24;;;;;;;;;;;;;;;;False
F-28522/24;;;;;;;;;;;;;;;;False
F-28525/24;;;;;;;;;;;;;;;;False
F-28266/24;;;;;;;;;;;;;;;;False
F-19407/22;;;;;;;;;;;;;;;;False
F-24946/24;;;;;;;;;;;;;;;;False
F-18792/21;;;;;;;;;;;;;;;;False
F-6591/20;;;;;;;;;;;;;;;;False
H-1086/22;;;;;;;;;;;;;;;;False
F-26796/22;;;;;;;;;;;;;;;;False
F-25789/20;;;;;;;;;;;;;;;;False
F-25790/20;;;;;;;;;;;;;;;;False
F-25791/20;;;;;;;;;;;;;;;;False
F-10475/21;;;;;;;;;;;;;;;;False
F-7482/21;;;;;;;;;;;;;;;;False
F-2384/24;;;;;;;;;;;;;;;;False
F-25744/20;;;;;;;;;;;;;;;;False
F-26718/22;;;;;;;;;;;;;;;;False
F-28088/24;;;;;;;;;;;;;;;;False
F-26020/21;;;;;;;;;;;;;;;;False
F-26021/21;;;;;;;;;;;;;;;;False
F-28338/24;;;;;;;;;;;;;;;;False
F-26019/21;;;;;;;;;;;;;;;;False
F-28087/24;;;;;;;;;;;;;;;;False
F-438/23;;;;;;;;;;;;;;;;False
F-9364/21;;;;;;;;;;;;;;;;False
F-24161/23;;;;;;;;;;;;;;;;False
F-24159/23;;;;;;;;;;;;;;;;False
F-24149/23;;;;;;;;;;;;;;;;False
F-27147/22;;;;;;;;;;;;;;;;False
F-19645/22;;;;;;;;;;;;;;;;False
F-27097/22;;;;;;;;;;;;;;;;False
F-27681/23;;;;;;;;;;;;;;;;False
F-461/23;;;;;;;;;;;;;;;;False
F-20078/23;;;;;;;;;;;;;;;;False
F-24063/23;;;;;;;;;;;;;;;;False
F-8059/21;;;;;;;;;;;;;;;;False
F-10853/21;;;;;;;;;;;;;;;;False
F-19076/21;;;;;;;;;;;;;;;;False
F-6188/20;;;;;;;;;;;;;;;;False
F-20176/23;;;;;;;;;;;;;;;;False
F-10751/21;;;;;;;;;;;;;;;;False
F-13121/23;;;;;;;;;;;;;;;;False
B-2372/24;;;;;;;;;;;;;;;;False
B-2357/23;;;;;;;;;;;;;;;;False
B-2358/23;;;;;;;;;;;;;;;;False
B-2572/20;;;;;;;;;;;;;;;;False
B-2570/20;;;;;;;;;;;;;;;;False
F-4654/20;;;;;;;;;;;;;;;;False
F-12223/22;;;;;;;;;;;;;;;;False
F-20336/23;;;;;;;;;;;;;;;;False
F-20277/23;;;;;;;;;;;;;;;;False
F-25232/20;;;;;;;;;;;;;;;;False
F-17930/20;;;;;;;;;;;;;;;;False
F-25807/20;;;;;;;;;;;;;;;;False
F-23894/23;;;;;;;;;;;;;;;;False
F-24260/23;;;;;;;;;;;;;;;;False
F-19316/22;;;;;;;;;;;;;;;;False
F-22082/20;;;;;;;;;;;;;;;;False
F-26681/22;;;;;;;;;;;;;;;;False
F-9366/21;;;;;;;;;;;;;;;;False
F-15458/21;;;;;;;;;;;;;;;;False
F-3309/20;;;;;;;;;;;;;;;;False
F-26889/22;;;;;;;;;;;;;;;;False
B-1266/21;;;;;;;;;;;;;;;;False
F-11987/22;;;;;;;;;;;;;;;;False
F-15233/20;;;;;;;;;;;;;;;;False
F-15234/20;;;;;;;;;;;;;;;;False
F-15334/20;;;;;;;;;;;;;;;;False
F-23410/22;;;;;;;;;;;;;;;;False
F-24308/23;;;;;;;;;;;;;;;;False
B-2824/20;;;;;;;;;;;;;;;;False
B-2969/23;;;;;;;;;;;;;;;;False
B-2733/21;;;;;;;;;;;;;;;;False
F-27490/23;;;;;;;;;;;;;;;;False
F-27489/23;;;;;;;;;;;;;;;;False
F-26137/21;;;;;;;;;;;;;;;;False
F-26419/21;;;;;;;;;;;;;;;;False
