Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-16082/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-17893/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22098/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-16044/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-20526/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24810/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-23545/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-10173/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-12468/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-14692/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-20095/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-17918/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-19727/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-24823/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-18455/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-8851/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2798/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2797/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2371/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2813/22,,,,,,,,,,,,,,,,FALSE,,,,,
B-2816/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-1880/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-1879/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-16943/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-20254/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23970/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23972/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26491/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28049/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-489/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-14031/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27395/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-21475/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-14685/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-578/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-3836/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26353/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26271/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26075/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28629/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-14439/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15699/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8604/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8611/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15065/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-13761/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27531/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24196/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-13396/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-13397/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-13398/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2815/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26475/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23862/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28605/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28322/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26062/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28433/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26520/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-16734/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-16735/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-11075/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10095/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-11076/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15635/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15005/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15636/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10094/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-17183/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-17182/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26122/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26125/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2805/22,,,,,,,,,,,,,,,,FALSE,,,,,
B-2804/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-14084/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-11848/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-17746/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17745/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26136/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24376/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-9812/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21117/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25035/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-25034/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-26660/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27030/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26458/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25004/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26399/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8783/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-12585/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-12586/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-518/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26342/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27046/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26759/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-17137/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22881/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22852/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22407/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-19136/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26702/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26699/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-5508/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-7772/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-9562/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7773/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-56/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-414/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-193/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-475/24,,,,,,,,,,,,,,,,FALSE,,,,,
N-476/24,,,,,,,,,,,,,,,,FALSE,,,,,
N-65/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-575/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25681/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26617/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-1444/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26254/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6406/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-787/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1157/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17842/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22015/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-770/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-767/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1290/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-16002/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-1004/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1229/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-761/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26585/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-13887/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-1193/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24847/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27600/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27906/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28307/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28519/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28569/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-14620/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15116/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-19972/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18575/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10067/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10847/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28556/24,,,,,,,,,,,,,,,,FALSE,,,,,
N-407/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-7589/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26063/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26064/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-18268/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-13154/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-12194/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-15943/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-894/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-579/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-893/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-804/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-594/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-805/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6449/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6450/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-17721/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26201/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24017/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26557/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26935/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-998/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-999/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-570/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-617/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-619/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-102/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-1311/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-11036/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-11135/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27181/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-24892/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27183/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-28630/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22479/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24895/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-11136/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15177/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15178/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27182/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27184/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-1213/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-1147/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21081/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17120/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-2461/24,,,,,,,,,,,,,,,,FALSE,,,,,
B-2430/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-728/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-9778/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-5449/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-620/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-778/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-587/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-797/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1159/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-592/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-493/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-85/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-504/22,,,,,,,,,,,,,,,,FALSE,,,,,
N-233/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-1211/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-802/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1160/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-593/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-746/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-762/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-968/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-769/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-20935/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21349/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-863/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24183/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-1480/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-1481/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-13533/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-606/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1235/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-584/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1161/24,,,,,,,,,,,,,,,,FALSE,,,,,
N-173/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-574/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-806/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-2643/24,,,,,,,,,,,,,,,,FALSE,,,,,
N-408/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-1196/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28631/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-6436/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-1804/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-11624/21,,,,,,,,,,,,,,,,FALSE,,,,,
K-63/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-9859/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-603/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-796/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1162/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-8537/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8539/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-589/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1291/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-585/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-510/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-822/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-190/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-874/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-187/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-177/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-732/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-179/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-1941/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-941/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-183/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1003/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-982/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-983/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-984/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-985/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-986/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-987/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-988/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-989/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-990/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-991/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-992/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-993/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-994/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-995/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-996/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-997/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24170/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-1142/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-1143/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1272/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1259/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22089/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25485/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25486/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-3730/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-412/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-413/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22157/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22466/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-4326/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22158/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1089/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-3219/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-5667/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-5668/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-13500/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-13499/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26311/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26389/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-470/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26275/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1163/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-793/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-14157/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-8879/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25611/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25606/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-28398/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28445/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-807/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-780/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-1482/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-8346/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6753/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-2031/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15657/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28626/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28627/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28628/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26654/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26783/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-776/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-823/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6424/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-824/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-825/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-753/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-736/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-578/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-409/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-629/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-566/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-537/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-1231/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-13764/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-2251/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-7138/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-4986/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1303/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-2828/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-20027/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-1005/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-792/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1164/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-14353/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-10974/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-14354/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-13620/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15676/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10973/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-13863/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-788/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6129/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-17269/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18948/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1006/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1165/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-1136/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-4192/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-7344/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7345/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10421/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-16574/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-3803/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-3804/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-803/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-439/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-222/23,,,,,,,,,,,,,,,,FALSE,,,,,
K-73/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-773/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-174/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1301/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22468/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24254/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-595/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-771/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1000/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-586/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-789/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-596/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-777/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1166/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26164/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21944/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26162/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21939/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-18273/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-18272/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-18292/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-417/20,,,,,,,,,,,,,,,,FALSE,,,,,
K-75/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-739/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-887/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-30/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-488/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-503/22,,,,,,,,,,,,,,,,FALSE,,,,,
N-481/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-32/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-484/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-10836/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26855/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-11871/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-11870/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-15068/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25902/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-12196/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-12197/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-21284/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-11611/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-11607/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-17915/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26956/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26937/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26942/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26239/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26454/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23910/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24535/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25307/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-3902/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27978/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27677/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-6881/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-16636/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-21019/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21960/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23564/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-23683/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-20104/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-11608/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1293/22,,,,,,,,,,,,,,,,FALSE,,,,,
H-783/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-779/20,,,,,,,,,,,,,,,,FALSE,,,,,
H-1167/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-1154/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-1153/24,,,,,,,,,,,,,,,,FALSE,,,,,
H-1040/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1046/21,,,,,,,,,,,,,,,,FALSE,,,,,
H-1049/21,,,,,,,,,,,,,,,,FALSE,,,,,
