Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-27646/23,AARTISTINE COMPRIMIDOS 8 mg (BETAHISTINA DICLORHIDRATO),RF1993239,EQUIVALENTE TERAPÉUTICO,PINNACLE CHILE S.p.A.,Vigente,17214,17-07-2023,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Desórdenes patológicos por déficit microcirculatorio en el laberinto: vértigo,,,,,,,
F-24563/24,ABACAVIR COMPRIMIDOS RECUBIERTOS 300 mg,RF974751,EQUIVALENTE TERAPÉUTICO,DIFEM LABORATORIOS S.A.,Vigente,1306,16-01-2019,N/A,,Importado Terminado,ORAL,Receta Simple,N/A,Indicado en la terapia de combinación antirretroviral para el tratamiento de la infección por Virus de la Inmunodeficiencia Humana (VIH) en adultos y niños.,16-01-2029,TRUE,,,,,
F-26166/21,ABACAVIR/LAMIVUDINA 600/300 COMPRIMIDOS RECUBIERTOS,RF1553061,EQUIVALENTE TERAPÉUTICO,LABORATORIO BIOSANO S.A.,Vigente,12481,18-05-2021,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Indicado en la terapia antirretroviral combinada,,,,,,,
F-24490/23,ABATERO COMPRIMIDOS 250 mg,RF949497,EQUIVALENTE TERAPÉUTICO,SEVEN PHARMA CHILE S.p.A.,Vigente,27148,21-12-2018,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,En combinación con prednisona o prednisolona está indicado para:-El tratamiento de pacientes con cáncer de próstata metastásico resistente a castración en hombres adultos que son asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aun clínicamente indicada . - El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos cuya enfermedad ha progresado durante o tras régimen de quimioterapia basado en Docetaxel,21-12-2028,TRUE,,,,,
F-27612/23,ABATERO R COMPRIMIDOS RECUBIERTOS 250 mg (ABIRATERONA ACETATO),RF1928367,EQUIVALENTE TERAPÉUTICO,SEVEN PHARMA CHILE S.p.A.,Vigente,15393,28-06-2023,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Está indicado con prednisona o prednisolona para: · el tratamiento de hombres adultos con cáncer de próstata metastásico,,,,,,,
F-27410/23,ABATERO R COMPRIMIDOS RECUBIERTOS 500 mg (ABIRATERONA ACETATO),RF1928347,EQUIVALENTE TERAPÉUTICO,SEVEN PHARMA CHILE S.p.A.,Vigente,7337,29-03-2023,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Está indicado con prednisona o prednisolona para: · el tratamiento de hombres adultos con cáncer de próstata metastásico,,,,,,,
F-6415/20,ABECIDIN ACD SOLUCIÓN PARA GOTAS ORALES,,,LABORATORIO PASTEUR S.A.,Vigente,5006,4/6/1986,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Profiláctico en estados carenciales de vitaminas por hábitos dietéticos defectuosos o dieta inadecuada. Tratamiento de la deficiencia y profilaxis durante periodos de mayor necesidad como primera infancia,,,,,,,
F-24317/23,ABIRAND COMPRIMIDOS 250 mg,RF1052374,EQUIVALENTE TERAPÉUTICO,MSN LABS CHILE S.p.A.,Vigente,24310,19-11-2018,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Abiraterona está indicado con prednisona o prednisolona para el tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada.,19-11-2028,TRUE,,,,,
F-27130/22,ABIRATERONA ACETATO COMPRIMIDOS RECUBIERTOS 250 mg,RF1856482,EQUIVALENTE TERAPÉUTICO,ALEMBIC PHARMACEUTICALS S.p.A.,Vigente,27825,4/11/2022,N/A,,Importado Terminado con Reacondicionamiento Local,Oral,Receta Simple,N/A,Está indicado con prednisona o prednisolona para: - El tratamiento de hombres adultos con cáncer de próstata metastásico,,,,,,,
F-27103/22,ABIRATERONA ACETATO COMPRIMIDOS RECUBIERTOS 500 mg,RF1848009,EQUIVALENTE TERAPÉUTICO,ALEMBIC PHARMACEUTICALS S.p.A.,Vigente,26727,21-10-2022,N/A,,Importado Terminado con Reacondicionamiento Local,Oral,Receta Simple,N/A,Está indicado con prednisona o prednisolona para: - El tratamiento de hombres adultos con cáncer de próstata metastásico,,,,,,,
F-28572/24,ABIRATERONA ACETATO COMPRIMIDOS RECUBIERTOS 500 mg,RF2221320,Equivalente Terapéutico,EXELTIS CHILE S.p.A.,Vigente,39454,5/11/2024,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,está indicado con prednisona o prednisolona para: · el tratamiento de hombres adultos con cáncer de próstata metastásico,,,,,,,
F-24297/23,ABIRATRAL COMPRIMIDOS 250 mg (ABIRATERONA ACETATO),RF944344,EQUIVALENTE TERAPÉUTICO,MEGALABS CHILE S.A.,Vigente,25627,5/12/2018,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Abiratral está indicado con prednisona o prednisolona para: - El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia aún no está clínicamente indicada. - El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel.,5/12/2028,TRUE,,,,,
F-23872/23,ABIRAVITAE COMPRIMIDOS 250 mg (ABIRATERONA),RF978283,EQUIVALENTE TERAPÉUTICO,GALENICUM HEALTH CHILE S.p.A.,Vigente,12281,15-06-2018,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,ABIRAVITAE está indicado con prednisona o prednisolona para el tratamiento del cáncer metastásico de próstata avanzado (cáncer de próstata resistente a la castración) en pacientes que han recibido quimioterapia previa con docetaxel. Está indicado con prednisona o prednisolona para el tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada.,15-06-2028,TRUE,,,,,
F-21156/24,ABRAXANE LIOFILIZADO PARA SUSPENSIÓN INYECTABLE 100 mg (PACLITAXEL),RF494069,,BRISTOL - MYERS SQUIBB DE CHILE,Vigente,11833,10/6/2014,N/A,,Importado Terminado con Reacondicionamiento Local,Parenteral,Receta Simple,N/A,Tratamiento del cáncer de mama en caso de fracasar la quimioterapia combinada para la enfermedad metastásica o la recidiva dentro de los 6 meses de quimioterapia adyuvante. El tratamiento previo debe haber incluido una antraciclina,,,,,,,
